Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Bug,BLOGSQE-22,10072,Missing Error Handling for Invalid Request Body in Rating Endpoint,,,fatimaqurban3599,712020:ff7894d9-c06c-48c2-9f1e-9f8ca4148ced,Medium,To Do,,11/Dec/24 10:47 PM,11/Dec/24 10:47 PM,
Bug,BLOGSQE-21,10071,Console Log Output Not Removed in Production Code,,,fatimaqurban3599,712020:ff7894d9-c06c-48c2-9f1e-9f8ca4148ced,Low,To Do,,11/Dec/24 10:47 PM,11/Dec/24 10:47 PM,
Bug,BLOGSQE-20,10070,Update Does Not Check for Null or Undefined Blog Post,,,fatimaqurban3599,712020:ff7894d9-c06c-48c2-9f1e-9f8ca4148ced,High,To Do,,11/Dec/24 10:46 PM,11/Dec/24 10:47 PM,
Bug,BLOGSQE-19,10069,Missing Error Response When Blog Post Is Not Found,,,fatimaqurban3599,712020:ff7894d9-c06c-48c2-9f1e-9f8ca4148ced,Medium,To Do,,11/Dec/24 10:45 PM,11/Dec/24 10:47 PM,
Bug,BLOGSQE-18,10068,Incorrect Logic for Rate Update in Blog Post,,,fatimaqurban3599,712020:ff7894d9-c06c-48c2-9f1e-9f8ca4148ced,Medium,To Do,,11/Dec/24 10:45 PM,11/Dec/24 10:47 PM,
Bug,BLOGSQE-17,10067,Missing Validation for rate Query Parameter Type,,,fatimaqurban3599,712020:ff7894d9-c06c-48c2-9f1e-9f8ca4148ced,High,To Do,,11/Dec/24 10:44 PM,11/Dec/24 10:47 PM,
Bug,BLOGSQE-16,10066,Incorrect Error Handling When Rating a Blog Post,,,fatimaqurban3599,712020:ff7894d9-c06c-48c2-9f1e-9f8ca4148ced,High,To Do,,11/Dec/24 10:43 PM,11/Dec/24 10:47 PM,
Bug,BLOGSQE-15,10065,Incorrect handling of blog rating logic causes inaccurate updates and potential application crashes when the rate query parameter or res.blog.rate structure is inconsistent.,,,fatimaqurban3599,712020:ff7894d9-c06c-48c2-9f1e-9f8ca4148ced,Medium,To Do,,11/Dec/24 10:36 PM,11/Dec/24 10:40 PM,
Bug,BLOGSQE-14,10064,Wrong blog data return,,,fatimaqurban3599,712020:ff7894d9-c06c-48c2-9f1e-9f8ca4148ced,High,To Do,,11/Dec/24 10:31 PM,11/Dec/24 10:40 PM,
Bug,BLOGSQE-13,10063,User blocking functionality does not work correctly,,,fatimaqurban3599,712020:ff7894d9-c06c-48c2-9f1e-9f8ca4148ced,High,To Do,,11/Dec/24 10:27 PM,11/Dec/24 10:40 PM,
Bug,BLOGSQE-12,10062,User cant unfollow and remove its following,,,fatimaqurban3599,712020:ff7894d9-c06c-48c2-9f1e-9f8ca4148ced,Highest,To Do,,11/Dec/24 10:21 PM,11/Dec/24 10:21 PM,
Bug,BLOGSQE-11,10061,Blogs posts are not able to be edited,,,fatimaqurban3599,712020:ff7894d9-c06c-48c2-9f1e-9f8ca4148ced,Medium,To Do,,11/Dec/24 10:17 PM,11/Dec/24 10:17 PM,
Bug,BLOGSQE-10,10060,"Blog posts are not deleted, and no error is displayed.",,,fatimaqurban3599,712020:ff7894d9-c06c-48c2-9f1e-9f8ca4148ced,Highest,To Do,,11/Dec/24 10:15 PM,11/Dec/24 10:17 PM,
Bug,BLOGSQE-9,10059,The following list does not refresh when to show new blogs of new follower,,,fatimaqurban3599,712020:ff7894d9-c06c-48c2-9f1e-9f8ca4148ced,Medium,To Do,,11/Dec/24 10:01 PM,11/Dec/24 10:17 PM,
Bug,BLOGSQE-8,10058,Users cannot upload or update their profile picture,,,fatimaqurban3599,712020:ff7894d9-c06c-48c2-9f1e-9f8ca4148ced,Low,To Do,,11/Dec/24 9:59 PM,11/Dec/24 10:17 PM,
Bug,BLOGSQE-7,10057,Unable to Edit Profile Details,,,fatimaqurban3599,712020:ff7894d9-c06c-48c2-9f1e-9f8ca4148ced,High,To Do,,11/Dec/24 8:56 PM,11/Dec/24 8:58 PM,
Bug,BLOGSQE-5,10055,Unable to Unfollow Users,,,fatimaqurban3599,712020:ff7894d9-c06c-48c2-9f1e-9f8ca4148ced,High,To Do,,11/Dec/24 8:48 PM,11/Dec/24 8:58 PM,
Bug,BLOGSQE-4,10054,Verify the responsiveness of the blog viewer component on mobile devices.,,,fatimaqurban3599,712020:ff7894d9-c06c-48c2-9f1e-9f8ca4148ced,Medium,To Do,,11/Dec/24 8:23 PM,11/Dec/24 8:58 PM,
Bug,BLOGSQE-3,10053,Validate input sanitization for blog titles.,,,fatimaqurban3599,712020:ff7894d9-c06c-48c2-9f1e-9f8ca4148ced,Highest,To Do,,11/Dec/24 8:19 PM,11/Dec/24 8:58 PM,
Bug,BLOGSQE-2,10052,empty title blog in creating blog,,,fatimaqurban3599,712020:ff7894d9-c06c-48c2-9f1e-9f8ca4148ced,Medium,To Do,,11/Dec/24 7:59 PM,11/Dec/24 8:58 PM,
Bug,BLOGSQE-1,10051, Ensure unauthorized users cannot access admin-specific endpoints.,,,fatimaqurban3599,712020:ff7894d9-c06c-48c2-9f1e-9f8ca4148ced,Highest,To Do,,11/Dec/24 7:52 PM,11/Dec/24 8:58 PM,
